job_title,company,location,salary,description,skills,standardized_title,salary_low,salary_avg,standardized_location,experience_years,skill_firebase,skill_rust,skill_ruby,skill_docker,skill_tableau,skill_kafka,skill_mongodb,skill_swift,skill_azure,skill_python,skill_kubernetes,skill_bash,skill_javascript,skill_spark,skill_flutter,skill_r,skill_numpy,skill_sql,skill_golang,skill_elasticsearch,skill_php,skill_react,skill_postgresql,skill_snowflake,skill_tensorflow,skill_vue.js,skill_pytorch,skill_c++,skill_gcp,skill_pandas,skill_scala,skill_aws,skill_angular,skill_node.js,skill_java,skill_power_bi,skill_terraform,skill_hadoop,skill_linux,skills_count,company_size
Frontend Developer,TechCorp,"Dublin, IE",$112097 - $212098 per year,"We are urgently hiring a Frontend Developer for our team at TechCorp. Experience with Kubernetes, React, Power BI, Docker is highly preferred.","['Angular', 'SQL', 'JavaScript', 'Docker', 'Swift', 'Rust']",Frontend Engineer,112097.0,162097.5,"Dublin, IE",3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,Large
IT Project Manager,EchoSoft,"New York, NY",$92124 - $273850 per year,"We are urgently hiring a IT Project Manager for our team at EchoSoft. Experience with Rust, Vue.js, Pandas, Python, C++, Angular is highly preferred.","['Pandas', 'Java', 'Swift', 'Azure']",Product/Project Manager,92124.0,182987.0,"New York, NY",3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,Small
Frontend Developer,InnovateX,"Phoenix, AZ",$65353 - $227052 per year,"We are urgently hiring a Frontend Developer for our team at InnovateX. Experience with Firebase, Scala, SQL, R, Power BI is highly preferred.","['Linux', 'Docker']",Frontend Engineer,65353.0,146202.5,"Phoenix, AZ",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Large
Network Engineer,PixelPerfect,Singapore,$134800 - $255674 per year,"We are urgently hiring a Network Engineer for our team at PixelPerfect. Experience with TensorFlow, SQL, Rust, NumPy is highly preferred.","['Rust', 'React']",Other Tech Role,134800.0,195237.0,Singapore,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Large
Mobile App Developer,QuantumSoft,"Toronto, ON",$135638 - $201319 per year,"We are urgently hiring a Mobile App Developer for our team at QuantumSoft. Experience with GCP, Swift, Pandas, TensorFlow, Firebase is highly preferred.","['C++', 'Power BI', 'PHP', 'Firebase', 'R', 'Linux', 'Pandas']",Software Engineer,135638.0,168478.5,"Toronto, ON",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,7,Small
Network Engineer,SkyNet Inc.,"Barcelona, ES",$125008 - $290474 per year,"We are urgently hiring a Network Engineer for our team at SkyNet Inc.. Experience with Rust, SQL, Spark is highly preferred.","['Pandas', 'TensorFlow', 'Swift', 'PostgreSQL', 'Spark']",Other Tech Role,125008.0,207741.0,"Barcelona, ES",3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,Small
Product Manager,DataNova,"Vancouver, BC",$143712 - $295957 per year,"We are urgently hiring a Product Manager for our team at DataNova. Experience with Java, Scala, Kubernetes, PHP, Power BI, MongoDB is highly preferred.","['MongoDB', 'Angular', 'Bash', 'Terraform', 'Rust', 'Kubernetes', 'Elasticsearch']",Product/Project Manager,143712.0,219834.5,"Vancouver, BC",3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,Large
Technical Support Specialist,InnovateX,Remote (Global),$52351 - $292866 per year,"We are urgently hiring a Technical Support Specialist for our team at InnovateX. Experience with Java, C++, Angular is highly preferred.","['TensorFlow', 'Linux', 'MongoDB', 'R', 'Tableau', 'Scala']",Other Tech Role,52351.0,172608.5,Remote,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,Medium
Network Engineer,TechCorp,"Barcelona, ES",$70029 - $269353 per year,"We are urgently hiring a Network Engineer for our team at TechCorp. Experience with Azure, Node.js, NumPy, Angular, C++ is highly preferred.","['Python', 'Scala', 'Elasticsearch', 'Ruby', 'React']",Other Tech Role,70029.0,169691.0,"Barcelona, ES",3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,Large
Data Analyst,DataNova,"London, UK",$92143 - $200032 per year,"We are urgently hiring a Data Analyst for our team at DataNova. Experience with C++, Power BI, Tableau, Python, Firebase is highly preferred.","['Kafka', 'JavaScript', 'Node.js', 'Terraform']",Data Analyst,92143.0,146087.5,"London, UK",3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,Large
Data Analyst,SkyNet Inc.,"San Francisco, CA",$103143 - $295082 per year,"We are urgently hiring a Data Analyst for our team at SkyNet Inc.. Experience with Docker, Kafka, TensorFlow is highly preferred.","['Kubernetes', 'Firebase', 'PyTorch', 'Snowflake', 'C++', 'Scala']",Data Analyst,103143.0,199112.5,"San Francisco Bay Area, CA",3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,Large
IT Project Manager,EchoSoft,"Dallas, TX",$95521 - $250686 per year,"We are urgently hiring a IT Project Manager for our team at EchoSoft. Experience with Hadoop, Bash, Terraform, Vue.js is highly preferred.","['Vue.js', 'Node.js', 'PHP', 'Rust', 'TensorFlow', 'Azure']",Product/Project Manager,95521.0,173103.5,"Dallas, TX",3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,Large
Software Engineer,GigabyteGroove,"Berlin, DE",$100323 - $257128 per year,"We are urgently hiring a Software Engineer for our team at GigabyteGroove. Experience with Python, TensorFlow, AWS, Rust is highly preferred.","['SQL', 'Azure']",Software Engineer,100323.0,178725.5,"Berlin, DE",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Small
